Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-01-03 23:00:00,1217.3931896378099,1284.5664244119073,1217.3931896378099,1279.2120361328125,523941,0.0,0.0
2021-01-04 23:00:00,1276.7783222456335,1277.2650848541907,1250.0063787749855,1260.2283935546875,494608,0.0,0.0
2021-01-05 23:00:00,1275.804971270851,1307.9313078232647,1271.9108698705584,1289.434326171875,465897,0.0,0.0
2021-01-06 23:00:00,1304.0370676638895,1349.7927542485875,1304.0370676638895,1319.126708984375,730350,0.0,0.0
2021-01-07 23:00:00,1348.819343614878,1363.4222235529676,1315.719482421875,1315.719482421875,896058,0.0,0.0
2021-01-10 23:00:00,1294.7884686444256,1304.0369577061715,1247.0857355891048,1260.715087890625,901075,0.0,0.0
2021-01-11 23:00:00,1271.4238993606837,1271.4238993606837,1228.1020283640908,1237.8372802734375,647120,0.0,0.0
2021-01-12 23:00:00,1134.1569530401869,1181.8596918375852,1120.527599098073,1176.9920654296875,1623625,0.0,0.0
2021-01-13 23:00:00,1176.9920034697561,1181.8596296214096,1152.1671100963247,1156.5479736328125,986981,0.0,0.0
2021-01-14 23:00:00,1167.7435710677416,1175.045010653409,1132.2098984174936,1140.48486328125,619721,0.0,0.0
2021-01-17 23:00:00,1121.501061371453,1146.8127172704617,1119.5540109176832,1132.2098388671875,452062,0.0,0.0
2021-01-18 23:00:00,1142.9186020632592,1165.7964446088185,1128.3157238426895,1161.90234375,587390,0.0,0.0
2021-01-19 23:00:00,1170.1773469799537,1192.0816650390625,1140.4848269442725,1192.0816650390625,788582,0.0,0.0
2021-01-20 23:00:00,1204.2507817610835,1222.2609995966372,1190.621427723367,1209.118408203125,572955,0.0,0.0
2021-01-21 23:00:00,1208.631540329655,1220.3138427734375,1190.6213240621573,1220.3138427734375,541197,0.0,0.0
2021-01-24 23:00:00,1236.3770865780748,1236.3770865780748,1202.303702302301,1211.0654296875,361943,0.0,0.0
2021-01-25 23:00:00,1206.6846667500613,1218.8537335789242,1170.6642289366266,1179.9127197265625,535674,0.0,0.0
2021-01-26 23:00:00,1176.5052819613752,1176.5052819613752,1072.8248413085937,1129.289306640625,990779,0.0,0.0
2021-01-27 23:00:00,1108.8452294269202,1167.743505441256,1077.6924222788416,1165.3096923828125,809947,0.0,0.0
2021-01-28 23:00:00,1161.9022990327262,1166.7699249189127,1129.775968183895,1136.1038818359375,495413,0.0,0.0
2021-01-31 23:00:00,1134.6437471277573,1162.8759810760241,1133.183459164916,1158.4951171875,343573,0.0,0.0
2021-02-01 23:00:00,1166.7700238251805,1181.372902721616,1157.5215338574383,1162.38916015625,406535,0.0,0.0
2021-02-02 23:00:00,1166.7700858738112,1176.992101644921,1135.1305132489476,1141.9451904296875,609065,0.0,0.0
2021-02-03 23:00:00,1145.8392643555965,1166.2832954103694,1102.0306263810835,1115.1732177734375,721513,0.0,0.0
2021-02-04 23:00:00,1113.7129008374184,1129.2893050449347,1103.9776482077207,1117.1202392578125,545892,0.0,0.0
2021-02-07 23:00:00,1119.5539742002504,1119.5539742002504,1066.4968510751082,1068.9306640625,946402,0.0,0.0
2021-02-08 23:00:00,1066.0102210277132,1066.0102210277132,1000.7840248552412,1019.281005859375,1055738,0.0,0.0
2021-02-09 23:00:00,1027.5558622090969,1044.5925534347332,986.1810406611228,989.58837890625,1028761,0.0,0.0
2021-02-10 23:00:00,994.9428504737648,1021.7147960589199,992.9957998857535,1008.5722045898438,778829,0.0,0.0
2021-02-11 23:00:00,1042.6455001391741,1042.6455001391741,996.8898152591171,1014.4132690429688,716559,0.0,0.0
2021-02-14 23:00:00,1018.7942053753397,1032.4235592934044,1008.0854272968603,1029.98974609375,532245,0.0,0.0
2021-02-15 23:00:00,1036.8044127089192,1036.8044127089192,1003.2177908887711,1006.1383666992188,615384,0.0,0.0
2021-02-16 23:00:00,995.9163268391769,1007.1118671702136,986.1810743774059,1003.7045288085938,836752,0.0,0.0
2021-02-17 23:00:00,1007.5986079846398,1009.5456584348517,976.44580078125,976.44580078125,591553,0.0,0.0
2021-02-18 23:00:00,973.5252971855066,1000.7840055067009,960.869468322095,992.0222778320312,681327,0.0,0.0
